Общие метрики,,,,,,,,Поисковые запросы,
,Сессии,Заказы,Выручка,Конверсия,RPS,AOV,,Уникальные,"1,071"
Всего,"26,882",269,"4,367,710",1.00%,162.48,"16,236.84",,Всего,"1,618"
Сессии без поиска,"25,999",251,"3,919,895",0.97%,150.77,"15,617.11",,,
Сессии с поиском,883,18,"447,815",2.04%,507.15,"24,878.61",,,
С поиском / Всего,3.28%,6.69%,10.25%,,,,,,
,,,,,,,,Популярные запросы,
,,,,,,,,Запрос,Количество
Автоподсказки,,,,,Клики по автоподсказкам,,,moncler,64
Сессии,Заказы,"Выручка, руб.",CTR,Конверсия,Товары,28,,stone island,55
119,5,"98,118",9.60%,4%,Категории,72,,gucci,49
,,,,,Запросы,65,,aletta,42
,,,,,Всего,165,,il gufo,41
,,,,,,,,рюкзак,33
Исправления,,,,,,,,dolce&gabbana,28
Всего,Заказы,"Выручка, руб.",,,,,,manudieci,27
206,2,"83,280",,,,,,burberry,26
,,,,,,,,catya,23
,,,,,,,,molo,23
,,,,,,,,dolce & gabbana,23
,,,,,,,,nanan,22
,,,,,,,,falcotto,18
,,,,,,,,bosco,17
,,,,,,,,аргента,16
,,,,,,,,dolce gabbana,16
,,,,,,,,mi mi sol,15
,,,,,,,,платье,12
,,,,,,,,пальто,11